Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,TotalScore,AvgScore,PerformanceCategory
female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72,210,70.0,Good
female,group B,some college,standard,none,single,sometimes,yes,5.0,,5 - 10,63,65,61,189,63.0,Good
female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66,195,65.0,Good
male,,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,40,42,38,120,40.0,Average
male,group E,some college,standard,none,divorced,sometimes,yes,0.0,school_bus,,97,87,82,266,88.66666666666667,Excellent
male,group E,associate's degree,standard,completed,single,sometimes,no,,school_bus,5 - 10,81,81,79,241,80.33333333333333,Excellent
female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85,243,81.0,Excellent
female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60,175,58.333333333333336,Average
female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90,258,86.0,Excellent
male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58,172,57.333333333333336,Average
male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52,165,55.0,Average
female,group C,associate's degree,standard,none,divorced,regularly,no,1.0,,5 - 10,59,74,69,202,67.33333333333333,Good
male,group B,some college,free/reduced,,married,regularly,yes,3.0,school_bus,5 - 10,60,65,67,192,64.0,Good
female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52,155,51.666666666666664,Average
male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55,171,57.0,Average
female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,67,72,77,216,72.0,Good
male,group C,high school,standard,completed,married,sometimes,,3.0,,5 - 10,82,84,82,248,82.66666666666667,Excellent
male,group E,some college,standard,none,married,,no,3.0,school_bus,> 10,54,55,48,157,52.333333333333336,Average
male,,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68,68,212,70.66666666666667,Good
male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,144,48.0,Average
male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,241,80.33333333333333,Excellent
female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90,251,83.66666666666667,Excellent
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,117,39.0,Poor
female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,257,85.66666666666667,Excellent
male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,156,52.0,Average
male,group D,,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60,181,60.333333333333336,Good
female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,27,9.0,Poor
male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,39,39,34,112,37.333333333333336,Poor
male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,178,59.333333333333336,Average
female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,176,58.666666666666664,Average
male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,183,61.0,Good
male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,119,39.666666666666664,Poor
female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,209,69.66666666666667,Good
male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,,62,58,57,177,59.0,Average
female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,160,53.333333333333336,Average
male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,183,61.0,Good
female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,142,47.333333333333336,Average
male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,169,56.333333333333336,Average
male,group C,some high school,standard,,married,sometimes,yes,2.0,private,< 5,47,48,40,135,45.0,Average
male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,44,41,38,123,41.0,Average
male,group E,some high school,standard,none,,sometimes,no,5.0,school_bus,5 - 10,28,25,21,74,24.666666666666668,Poor
male,group A,,standard,completed,,regularly,yes,,,5 - 10,82,79,83,244,81.33333333333333,Excellent
female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,210,70.0,Good
female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,196,65.33333333333333,Good
female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,151,50.333333333333336,Average
male,group B,high school,free/reduced,none,married,sometimes,yes,0.0,private,,49,45,45,139,46.333333333333336,Average
male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,50,47,54,151,50.333333333333336,Average
male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,202,67.33333333333333,Good
male,group D,high school,free/reduced,none,married,never,,3.0,private,5 - 10,40,38,33,111,37.0,Poor
female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,235,78.33333333333333,Good
female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86,240,80.0,Excellent
female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,216,72.0,Good
female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,193,64.33333333333333,Good
female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83,245,81.66666666666667,Excellent
male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,,5 - 10,27,34,36,97,32.333333333333336,Poor
male,group C,high school,standard,none,divorced,sometimes,no,1.0,,< 5,68,77,69,214,71.33333333333333,Good
male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,143,47.666666666666664,Average
female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,262,87.33333333333333,Excellent
male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,189,63.0,Good
female,,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66,194,64.66666666666667,Good
female,group D,some college,free/reduced,none,single,regularly,yes,2.0,,> 10,61,69,64,194,64.66666666666667,Good
female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,192,64.0,Good
male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,213,71.0,Good
male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,216,72.0,Good
female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,270,90.0,Excellent
male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,153,51.0,Average
male,,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94,282,94.0,Excellent
female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,197,65.66666666666667,Good
female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100,287,95.66666666666667,Excellent
male,group E,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64,193,64.33333333333333,Good
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,198,66.0,Good
female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,209,69.66666666666667,Good
female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,268,89.33333333333333,Excellent
male,group C,high school,standard,none,single,regularly,no,6.0,,5 - 10,63,55,50,168,56.0,Average
male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,154,51.333333333333336,Average
female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,154,51.333333333333336,Average
female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100,297,99.0,Excellent
male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,235,78.33333333333333,Good
female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,234,78.0,Good
female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,232,77.33333333333333,Good
female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,181,60.333333333333336,Good
female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,189,63.0,Good
female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,252,84.0,Excellent
male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,265,88.33333333333333,Excellent
female,group C,some college,standard,completed,single,regularly,yes,1.0,,5 - 10,90,94,95,279,93.0,Excellent
male,group D,high school,free/reduced,none,married,sometimes,no,3.0,private,,63,57,56,176,58.666666666666664,Average
male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,234,78.0,Good
female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85,265,88.33333333333333,Excellent
male,group B,,standard,none,married,,no,3.0,private,5 - 10,72,68,67,207,69.0,Good
male,group D,some college,standard,,married,regularly,no,3.0,school_bus,< 5,64,76,74,214,71.33333333333333,Good
male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72,230,76.66666666666667,Good
female,group A,bachelor's degree,standard,none,,regularly,yes,0.0,school_bus,5 - 10,52,49,52,153,51.0,Average
male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82,253,84.33333333333333,Excellent
male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,128,42.666666666666664,Average
male,,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71,235,78.33333333333333,Good
female,,some college,standard,completed,married,never,no,6.0,,< 5,70,78,80,228,76.0,Good
male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76,232,77.33333333333333,Good
male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,,< 5,56,54,47,157,52.333333333333336,Average
male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41,146,48.666666666666664,Average
male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54,175,58.333333333333336,Average
female,group C,associate's degree,standard,,married,sometimes,yes,1.0,private,5 - 10,59,66,67,192,64.0,Good
male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70,204,68.0,Good
female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71,219,73.0,Good
female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65,187,62.333333333333336,Good
female,group E,some college,free/reduced,completed,single,regularly,,1.0,private,< 5,41,54,54,149,49.666666666666664,Average
male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47,147,49.0,Average
male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79,243,81.0,Excellent
female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,92,30.666666666666668,Poor
female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79,217,72.33333333333333,Good
male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95,295,98.33333333333333,Excellent
male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69,198,66.0,Good
female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64,189,63.0,Good
male,group D,bachelor's degree,standard,none,married,sometimes,no,1.0,,5 - 10,54,49,47,150,50.0,Average
male,group D,some high school,standard,none,single,never,no,2.0,,< 5,58,65,58,181,60.333333333333336,Good
female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88,245,81.66666666666667,Excellent
female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79,221,73.66666666666667,Good
male,group B,,free/reduced,none,,sometimes,yes,2.0,school_bus,< 5,58,59,58,175,58.333333333333336,Average
female,group B,associate's degree,standard,,divorced,regularly,yes,2.0,private,5 - 10,62,87,89,238,79.33333333333333,Good
male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66,199,66.33333333333333,Good
male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74,234,78.0,Good
female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85,248,82.66666666666667,Excellent
male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52,153,51.0,Average
male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49,154,51.333333333333336,Average
female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86,251,83.66666666666667,Excellent
female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100,296,98.66666666666667,Excellent
male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51,155,51.666666666666664,Average
female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83,224,74.66666666666667,Good
female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79,233,77.66666666666667,Good
male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77,228,76.0,Good
male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76,253,84.33333333333333,Excellent
female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78,238,79.33333333333333,Good
female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70,200,66.66666666666667,Good
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,143,47.666666666666664,Average
female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89,262,87.33333333333333,Excellent
female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56,153,51.0,Average
female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77,223,74.33333333333333,Good
female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65,191,63.666666666666664,Good
female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100,299,99.66666666666667,Excellent
male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75,203,67.66666666666667,Good
female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66,176,58.666666666666664,Average
female,group E,high school,standard,none,married,sometimes,yes,3.0,private,,50,50,47,147,49.0,Average
female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68,198,66.0,Good
male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62,188,62.666666666666664,Good
male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62,210,70.0,Good
male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68,196,65.33333333333333,Good
male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,143,47.666666666666664,Average
female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85,245,81.66666666666667,Excellent
female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69,200,66.66666666666667,Good
male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77,231,77.0,Good
female,group B,some high school,standard,none,single,sometimes,no,3.0,private,,62,64,66,192,64.0,Good
male,group D,some college,standard,completed,married,regularly,yes,4.0,,,79,62,63,204,68.0,Good
female,group C,master's degree,standard,completed,,regularly,yes,1.0,school_bus,< 5,69,85,87,241,80.33333333333333,Excellent
male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52,166,55.333333333333336,Average
male,group C,,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63,187,62.333333333333336,Good
male,group E,high school,free/reduced,none,married,,no,7.0,private,> 10,56,56,52,164,54.666666666666664,Average
female,group B,some college,free/reduced,none,widowed,regularly,yes,3.0,,> 10,47,54,57,158,52.666666666666664,Average
female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3.0,private,5 - 10,80,80,77,237,79.0,Good
female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86,235,78.33333333333333,Good
female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75,217,72.33333333333333,Good
male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69,215,71.66666666666667,Good
female,,associate's degree,standard,none,,regularly,yes,2.0,school_bus,5 - 10,58,70,69,197,65.66666666666667,Good
male,group C,some college,standard,none,single,regularly,yes,1.0,,< 5,58,40,42,140,46.666666666666664,Average
male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76,216,72.0,Good
male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63,209,69.66666666666667,Good
male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77,241,80.33333333333333,Excellent
female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76,229,76.33333333333333,Good
female,group B,some college,free/reduced,,single,sometimes,no,2.0,,,58,61,66,185,61.666666666666664,Good
male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77,231,77.0,Good
male,group C,some college,free/reduced,,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27,90,30.0,Poor
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60,164,54.666666666666664,Average
male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57,169,56.333333333333336,Average
male,group E,high school,standard,,married,sometimes,yes,1.0,private,5 - 10,87,91,81,259,86.33333333333333,Excellent
male,group B,some high school,standard,completed,,regularly,no,2.0,private,5 - 10,86,84,76,246,82.0,Excellent
female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86,250,83.33333333333333,Excellent
female,group C,high school,free/reduced,,married,regularly,no,3.0,,< 5,33,41,39,113,37.666666666666664,Poor
male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68,207,69.0,Good
male,group B,some high school,standard,completed,single,never,no,1.0,,5 - 10,59,55,54,168,56.0,Average
female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75,201,67.0,Good
male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74,249,83.0,Excellent
female,group C,some high school,free/reduced,,divorced,sometimes,no,3.0,,5 - 10,55,65,62,182,60.666666666666664,Good
male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76,245,81.66666666666667,Excellent
female,group B,associate's degree,standard,completed,divorced,regularly,,3.0,school_bus,> 10,55,67,76,198,66.0,Good
female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52,150,50.0,Average
female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71,215,71.66666666666667,Good
male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55,163,54.333333333333336,Average
male,group A,,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72,64,204,68.0,Good
female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98,288,96.0,Excellent
male,group D,some college,standard,none,married,regularly,yes,0.0,,5 - 10,78,64,67,209,69.66666666666667,Good
male,group C,associate's degree,standard,none,married,regularly,,1.0,private,5 - 10,47,43,43,133,44.333333333333336,Average
female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83,236,78.66666666666667,Good
male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79,261,87.0,Excellent
male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85,253,84.33333333333333,Excellent
male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80,241,80.33333333333333,Excellent
male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67,194,64.66666666666667,Good
female,group D,some high school,standard,,married,sometimes,yes,4.0,school_bus,< 5,62,59,72,193,64.33333333333333,Good
male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53,163,54.333333333333336,Average
male,group C,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,84,80,80,244,81.33333333333333,Excellent
male,group D,high school,free/reduced,completed,divorced,,yes,1.0,private,> 10,75,69,67,211,70.33333333333333,Good
female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85,251,83.66666666666667,Excellent
male,group E,some college,standard,,single,regularly,no,2.0,school_bus,< 5,58,50,43,151,50.333333333333336,Average
male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69,216,72.0,Good
male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69,225,75.0,Good
male,group E,associate's degree,standard,,married,regularly,no,2.0,school_bus,5 - 10,91,77,75,243,81.0,Excellent
female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68,196,65.33333333333333,Good
female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60,186,62.0,Good
male,,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54,184,61.333333333333336,Good
male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,145,48.333333333333336,Average
female,group D,some college,free/reduced,none,married,regularly,,4.0,school_bus,< 5,70,82,83,235,78.33333333333333,Good
female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70,200,66.66666666666667,Good
male,group D,master's degree,standard,none,married,sometimes,no,3.0,school_bus,,80,80,72,232,77.33333333333333,Good
male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52,158,52.666666666666664,Average
female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70,205,68.33333333333333,Good
female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66,199,66.33333333333333,Good
male,,associate's degree,standard,completed,married,regularly,,1.0,school_bus,5 - 10,80,78,78,236,78.66666666666667,Good
female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78,223,74.33333333333333,Good
male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78,236,78.66666666666667,Good
female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52,147,49.0,Average
female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90,282,94.0,Excellent
male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68,217,72.33333333333333,Good
male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,138,46.0,Average
female,,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79,213,71.0,Good
